CU,BY,ER,Esc,male_spawn,female_spawn,mature_spawn,effective_spawn,R2.1,R3.1,R3.2,R4.1,R4.2,R4.3,R5.2,R5.3,R6.2,R6.3,R.no.jacks,Rec,Use
L.Stuart,1981,0.81,249699,118853,130641,249494,120124,0,0,0,0,1978010,0,55891,0,0,0,2033901,2033901,y
L.Stuart,1982,0.85,16758,8077,8681,16758,8681,0,0,193,0,52097,0,8699,0,0,0,60796,60989,y
L.Stuart,1983,0.86,2246,795,1451,2246,1451,0,0,0,0,14195,0,3717,32,0,0,17944,17944,y
L.Stuart,1984,0.94,1228,556,672,1228,672,0,0,222,0,14522,0,0,0,0,0,14522,14744,y
L.Stuart,1985,0.86,274642,110039,164582,274621,159101,0,0,7755,0,3367086,0,132788,0,0,0,3499874,3507629,y
L.Stuart,1986,0.73,28715,12599,16116,28715,15044,0,0,264,0,725126,0,91171,0,0,0,816297,816561,y
L.Stuart,1987,0.72,6524,3560,2912,6472,2393,0,0,984,0,283932,0,95155,0,0,0,379087,380071,y
L.Stuart,1988,0.61,11459,3456,3661,7117,3638,0,0,1552,0,207234,0,0,0,0,0,207234,208786,y
L.Stuart,1989,0.83,575791,246428,329269,575697,327096,0,0,20256,0,5162734,0,144134,0,0,0,5306868,5327124,y
L.Stuart,1990,0.78,190060,77164,111915,189079,111747,0,0,440,0,372685,44,16654,0,0,0,389339,389823,y
L.Stuart,1991,0.8,77322,36660,40200,76860,40200,0,0,354,0,91441,0,17786,0,0,0,109227,109581,y
L.Stuart,1992,0.79,23892,7091,12422,19513,12422,0,0,0,0,128970,0,6429,0,0,0,135399,135399,y
L.Stuart,1993,0.74,1805142,616796,1188173,1804969,744565,0,0,4082,0,3249145,0,511029,0,0,0,3760174,3764256,y
L.Stuart,1994,0.67,76715,34914,41548,76462,40717,0,0,0,0,108011,0,7429,0,0,0,115440,115440,y
L.Stuart,1995,0.66,34362,17181,17181,34362,17181,0,0,1366,0,92713,0,39375,0,0,0,132088,133454,y
L.Stuart,1996,0.57,65898,30808,32186,62994,27297,0,0,607,0,810002,0,212391,0,0,0,1022393,1023000,y
L.Stuart,1997,0.72,907652,435409,472243,907652,415149,0,0,81,0,351715,0,79099,0,0,0,430814,430895,y
L.Stuart,1998,0.31,139421,69395,69002,138397,67836,0,0,312,0,264390,0,12560,0,0,0,276950,277262,y
L.Stuart,1999,0.25,62120,26536,35038,61574,33801,0,0,23,0,117520,0,16079,0,0,0,133599,133622,y
L.Stuart,2000,0.47,454478,221195,233202,454397,226267,0,0,1827,0,868657,0,42459,879,0,0,911995,913822,y
L.Stuart,2001,0.38,351881,164820,186749,351569,179540,0,0,29,0,415504,0,89810,0,0,0,505314,505343,y
L.Stuart,2002,0.45,34489,16612,17854,34466,17820,0,,20,,121483,,4449,,,,125932,125952,y
L.Stuart,2003,0.61,38474,17383,19264,36647,19212,0,,11,,15962,,5810,,,,21772,21783,y
L.Stuart,2004,0.63,83447,31976,51442,83418,51370,0,,220,,263681,,19017,0,,,282698,282918,y
L.Stuart,2005,0.36,293144,128302,164822,293124,164657,,,89,,104604,,14974,0,0,0,119578,119667,y
L.Stuart,2006,0.62,27515,13008,14496,27504,14283,,0,37,0,169236,,5275,0,0,0,174511,174548,y
L.Stuart,2007,0.58,8707,4127,4360,8487,4144,,0,48,0,5160,0,8534,0,0,0,13694,13742,y
L.Stuart,2008,0.46,146658,73007,73562,146569,57881,,0,326,0,183247,0,6668,0,0,0,189914,190240,y
L.Stuart,2009,0.12,87001,43109,43855,86964,43271,,0,40,0,216742,0,13637,0,0,0,230379,230419,y
L.Stuart,2010,0.42,75289,30874,44367,75241,43476,,0,839,0,135047,0,34988,0,,,170035,170874,y
L.Stuart,2011,0.51,4053,2330,1453,3783,778,,0,0,0,3691,0,5350,243,,,9284,9284,y
Stellako,1952,0.79,41500,20253,21076,41329,19920,0,0,23,0,93984,0,16694,0,0,0,110678,110701,y
Stellako,1953,0.78,46061,22219,22182,44401,20388,0,0,30,0,156192,0,18023,0,0,0,174215,174245,y
Stellako,1954,0.84,142465,66915,75527,142442,72273,0,0,3311,0,1140205,0,67783,0,0,0,1207988,1211299,y
Stellako,1955,0.87,51856,20659,31189,51848,29937,0,0,28,0,602677,0,27091,0,0,0,629768,629796,y
Stellako,1956,0.8,38826,15881,22924,38805,21686,0,0,92,0,220400,0,26243,0,0,0,246643,246735,y
Stellako,1957,0.78,40557,19997,20161,40158,18044,0,0,8,0,143835,0,8000,0,0,0,151835,151843,y
Stellako,1958,0.9,112517,50424,62071,112495,61581,0,0,1156,0,323089,0,16215,0,0,0,339304,340460,y
Stellako,1959,0.88,79647,37031,42556,79587,41872,0,0,17,0,514918,0,26485,0,0,0,541403,541420,y
Stellako,1960,0.84,39073,15664,23402,39066,22718,0,0,19,0,143340,0,21155,0,0,0,164495,164514,y
Stellako,1961,0.72,47387,21458,25551,47009,18136,0,0,288,0,137046,0,10068,0,0,0,147114,147402,y
Stellako,1962,0.62,124567,58591,65966,124557,44532,0,0,100,0,572029,0,17376,0,0,0,589405,589505,y
Stellako,1963,0.74,139609,64933,74665,139598,41535,0,0,977,0,713487,0,13462,0,0,0,726949,727926,y
Stellako,1964,0.8,31240,14416,16667,31083,16161,0,0,194,0,170674,0,6969,0,0,0,177643,177837,y
Stellako,1965,0.75,39452,18318,21101,39419,20479,0,0,179,0,231100,0,12372,0,0,0,243472,243651,y
Stellako,1966,0.83,101689,46880,54654,101534,51509,0,0,833,0,336316,0,22757,0,0,0,359073,359906,y
Stellako,1967,0.87,93213,38192,54976,93168,32467,0,0,288,0,531886,0,18350,0,0,0,550236,550524,y
Stellako,1968,0.84,30521,15002,15467,30469,13680,0,0,85,0,125900,0,3837,0,0,0,129737,129822,y
Stellako,1969,0.79,49481,20818,28533,49351,25629,0,0,131,0,235729,0,17385,0,0,0,253114,253245,y
Stellako,1970,0.87,45876,16600,29197,45797,26727,0,0,1170,0,228808,0,4130,0,0,0,232938,234108,y
Stellako,1971,0.93,41522,19774,21713,41487,20147,0,0,496,0,508759,12,0,0,0,0,508759,509267,y
Stellako,1972,0.75,36883,16027,20781,36808,19938,0,0,204,0,711226,0,44784,0,0,0,756010,756214,y
Stellako,1973,0.87,30809,14469,15989,30458,15424,0,0,11,0,75813,0,10077,0,0,0,85890,85901,y
Stellako,1974,0.83,41475,16807,24470,41277,23718,0,0,1823,0,281752,13,19534,0,0,0,301286,303122,y
Stellako,1975,0.66,177223,68818,108267,177085,68451,0,0,3852,0,1832708,0,64645,2919,0,0,1900272,1904124,y
Stellako,1976,0.79,150771,76173,74591,150764,63865,0,0,150,0,216701,0,27506,0,0,0,244207,244357,y
Stellako,1977,0.81,23602,10778,12419,23197,10894,0,0,74,0,209138,0,56488,0,0,0,265626,265700,y
Stellako,1978,0.8,60421,25498,33400,58898,32528,0,0,860,0,388505,0,48040,0,0,0,436545,437405,y
Stellako,1979,0.84,291416,126523,164819,291342,152583,0,0,31,0,478737,0,145156,0,0,0,623893,623924,y
Stellako,1980,0.74,72149,32945,39181,72126,28477,0,0,207,0,535944,0,219255,0,0,0,755199,755406,y
Stellako,1981,0.91,22121,9381,12545,21926,12030,0,0,28,0,234136,0,51734,0,0,0,285870,285898,y
Stellako,1982,0.84,69434,30946,38474,69420,34888,0,0,1900,0,309369,0,46504,0,0,0,355873,357773,y
Stellako,1983,0.77,122729,55367,67315,122682,61357,0,0,1129,0,1097744,0,158607,0,0,0,1256351,1257480,y
Stellako,1984,0.91,60973,27594,33363,60957,32672,0,0,170,0,744589,0,266430,0,0,0,1011019,1011189,y
Stellako,1985,0.91,42296,19064,23035,42099,21969,0,0,87,0,97659,0,30996,0,0,0,128655,128742,y
Stellako,1986,0.79,77378,31234,45943,77177,44564,0,0,23,0,445398,0,116424,0,0,0,561822,561845,y
Stellako,1987,0.82,211111,98430,112655,211085,98179,0,0,14,0,353471,0,82191,0,0,0,435662,435676,y
Stellako,1988,0.59,367785,146588,221148,367736,200537,0,0,158,0,566227,0,425114,0,0,0,991341,991499,y
Stellako,1989,0.88,43189,25458,17721,43179,15903,0,0,28,0,127212,0,95047,0,0,0,222259,222287,y
Stellako,1990,0.8,94128,37122,56998,94120,56537,0,0,1145,0,861027,0,89664,0,0,0,950691,951836,y
Stellako,1991,0.8,95961,40641,55273,95914,54349,0,0,259,0,299039,0,37271,0,0,0,336310,336569,y
Stellako,1992,0.79,98093,42525,55562,98087,55138,0,0,275,0,734393,0,133793,0,0,0,868186,868461,y
Stellako,1993,0.84,91443,46525,44546,91071,42861,0,0,13,0,68158,0,241673,0,0,0,309831,309844,y
Stellako,1994,0.68,136878,66042,70698,136740,63584,0,0,127,0,593409,0,88649,704,0,0,682762,682889,y
Stellako,1995,0.66,122780,65167,57509,122676,41135,0,0,75,0,127344,0,56540,0,0,0,183884,183959,y
Stellako,1996,0.57,332207,152322,179885,332207,167624,0,0,16,0,635499,0,176479,0,0,0,811978,811994,y
Stellako,1997,0.73,55410,30444,24913,55357,23241,0,0,0,0,68515,0,56658,0,0,0,125173,125173,y
Stellako,1998,0.31,185697,87273,98368,185641,96961,0,0,73,0,504421,0,133503,0,0,0,637924,637997,y
Stellako,1999,0.23,138182,65654,72514,138168,66080,0,0,0,0,143988,0,30474,0,0,0,174462,174462,y
Stellako,2000,0.46,373409,163062,210347,373409,195386,0,0,0,0,647582,0,70089,0,0,0,717671,717671,y
Stellako,2001,0.38,152413,84318,68022,152340,61590,0,,,,203410,,83718,,,,287128,287128,y
Stellako,2002,0.42,324178,145112,179066,324178,177618,0,,47,,224262,,24066,,,,248328,248375,y
Stellako,2003,0.61,78266,34220,44046,78266,43829,0,,5,,34522,,14605,,,,49127,49132,y
Stellako,2004,0.64,87719,33201,54518,87719,53755,0,332,153,664,213103,,32647,111,,,246856,247009,y
Stellako,2005,0.36,175737,72775,102915,175690,102247,,,12,0,6640,,4885,0,0,0,11525,11537,y
Stellako,2006,0.56,149147,67372,81770,149142,79834,,111,87,0,391376,,81434,0,0,0,472920,473007,y
Stellako,2007,0.29,41760,20562,21045,41607,19626,,0,20,0,113252,0,24678,0,0,0,137930,137950,y
Stellako,2008,0.3,160935,74829,86094,160923,73798,,0,454,0,259519,0,14453,0,0,0,273972,274426,y
Stellako,2009,0.12,27880,11799,15994,27793,15770,,0,0,0,151519,0,47534,0,481.4081448,0,199534,199534,y
Stellako,2010,0.42,204434,90292,114122,204414,109383,,0,12308,0,1441852,0,129017,0,,,1570870,1583178,y
Stellako,2011,0.51,85938,42239,43245,85484,25856,,0,0,0,42845,0,9140,0,,,51985,51985,y
Bowron,1952,0.77,18672,8940,9705,18645,8568,0,0,8,0,36992,0,6304,0,0,0,43296,43304,y
Bowron,1953,0.79,13517,6782,6495,13277,5734,0,0,3,0,70599,0,4977,0,0,0,75576,75579,y
Bowron,1954,0.84,10774,5343,5172,10515,4566,0,0,652,0,62971,0,3293,0,0,0,66264,66916,y
Bowron,1955,0.86,9355,4285,5065,9350,4471,0,0,43,0,92623,0,4289,0,0,0,96912,96955,y
Bowron,1956,0.81,6996,2872,4122,6994,3639,0,0,0,0,27586,0,10160,738,0,0,38484,38484,y
Bowron,1957,0.84,12069,4743,7268,12011,6416,0,0,0,0,41008,0,958,0,0,0,41966,41966,y
Bowron,1958,0.78,14871,5445,9398,14843,8297,0,0,43,0,17945,0,167,0,0,0,18112,18155,y
Bowron,1959,0.7,29247,12693,16554,29247,14614,0,0,11,0,56454,0,5400,0,0,0,61854,61865,y
Bowron,1960,0.76,7620,3649,3971,7620,3506,0,0,4,0,17278,0,451,0,0,0,17729,17733,y
Bowron,1961,0.86,7460,3286,4163,7449,3675,0,0,0,0,26835,0,1313,0,0,0,28148,28148,y
Bowron,1962,0.67,6292,2640,3646,6286,3219,0,0,6,0,18822,0,2499,0,0,0,21321,21327,y
Bowron,1963,0.56,25144,10184,14957,25141,11468,0,0,28,0,204973,0,9315,0,0,0,214288,214316,y
Bowron,1964,0.71,1500,718,782,1500,690,0,0,0,0,25416,0,2091,0,0,0,27507,27507,y
Bowron,1965,0.9,2660,1197,1462,2659,1170,0,0,50,0,16770,0,1029,0,0,0,17799,17849,y
Bowron,1966,0.88,2480,1111,1359,2470,1151,0,0,0,0,21196,0,1053,0,0,0,22249,22249,y
Bowron,1967,0.85,31695,15847,15848,31695,13991,0,0,124,0,193857,0,12513,0,0,0,206370,206494,y
Bowron,1968,0.9,3634,1805,1806,3611,1710,0,0,0,0,37393,0,6150,1099,0,0,44642,44642,y
Bowron,1969,0.79,3872,1936,1936,3872,1936,0,0,0,0,16003,0,1208,0,0,0,17211,17211,y
Bowron,1970,0.94,1341,563,742,1305,497,0,0,371,0,15826,0,0,0,0,0,15826,16197,y
Bowron,1971,0.87,25497,11754,13743,25497,10761,0,0,0,0,124161,0,346,0,0,0,124507,124507,y
Bowron,1972,0.92,4138,1908,2230,4138,1969,0,0,0,0,16860,0,111,0,0,0,16971,16971,y
Bowron,1973,0.8,4700,2279,2279,4558,2012,0,0,0,0,10538,0,124,0,0,0,10662,10662,y
Bowron,1974,0.89,1850,804,1046,1850,1046,0,0,0,0,15702,0,1729,0,0,0,17431,17431,y
Bowron,1975,0.76,29700,13009,16691,29700,14735,0,0,122,0,121742,0,634,282,0,0,122658,122780,y
